investment_class,currency,total_assets,yield,greatstone_rating,inception_date,tag,fund_size,return_ytd
Value,USD,11850000,5.57,,02-02-2015,67922,Large,20.19
Growth,USD,13970000000,0.42,3,30-05-2012,134783,Large,16.79
Growth,USD,2660000000,0.02,4,23-08-1987,61271,Large,17.13
Value,USD,19570000000,2.71,3,24-10-2005,64412,Large,11.63
Blend,USD,28470000,2.44,0,12-12-2016,184058,Large,10.25
,USD,33220000,0.73,3,25-11-2001,249560,,10.69
Blend,USD,1070000000,1.95,3,15-12-1996,202778,Large,2.43
Value,USD,62430000,1.42,,13-07-2015,138257,Large,12.48
Value,USD,,6.15,3,11-06-2006,102419,Large,-1.06
Growth,USD,698770000,1.8,5,02-03-2003,62027,Large,5.99
Value,USD,119820000,2.39,3,27-09-2015,86975,Medium,2
Blend,USD,1690000000,2.06,5,31-03-2002,141173,Large,14
Blend,USD,50300000,2.77,3,25-03-2015,59264,Medium,3.01
Growth,USD,987570000,5.97,4,08-04-2012,201365,Small,8.19
Growth,USD,381470000,2.28,2,09-02-2014,90440,Medium,3.2
Blend,USD,57480000,2.67,2,16-09-2013,160217,Large,11.46
Growth,USD,381720000,0.77,,29-09-2005,191978,Small,9.94
Value,USD,12210000,5.89,3,28-08-2014,120203,Medium,17.49
Blend,USD,211020000,2.98,4,29-02-2016,58841,Medium,2.46
Blend,USD,36670000,2.83,0,02-04-2017,116882,Medium,5.86
Value,USD,18990000000,0.98,1,30-05-2002,204533,Large,1.54
Value,USD,5330000,16.39,1,29-04-2014,142010,Medium,1.92
Blend,USD,122390000,0.1,3,09-12-2004,64097,Large,9.48
Value,USD,1230000000,4.78,3,26-09-2010,56546,Medium,7.7
Blend,USD,6910000,1.95,,21-08-2016,105506,Large,11.77
Growth,USD,1770000000,0,4,29-11-2004,56645,Small,14.98
Growth,USD,7810000000,1.05,2,19-11-2015,207287,Large,12.93
Growth,USD,404240000,4.75,3,07-11-2012,53837,Small,7.88
Value,USD,903090000,1.75,,07-11-2012,58517,Medium,1.04
Blend,USD,704360000,2.29,3,02-10-2008,27179,Large,8.83
,USD,1600000000,0.47,2,29-06-2010,185705,,-0.61
Growth,USD,60490000,3.8,3,29-01-2015,56996,Medium,7.55
Blend,USD,429620000,1.91,2,10-10-2004,52559,Large,2.34
Value,USD,176270000,2.89,3,04-06-2017,108710,Large,8.45
Growth,USD,1330000000,0,3,23-05-1999,99323,Large,18.02
Blend,USD,183840000,2.59,3,16-12-2007,159749,Large,11.21
Blend,USD,139350000,1.75,2,20-12-2005,72323,Medium,2.34
Growth,USD,401080000,1.06,,27-03-2008,160595,Large,13.23
Growth,USD,474880000,5.42,,15-02-2006,57950,Small,0.37
Blend,USD,1230000000,2.71,4,29-10-2006,132182,Large,10.73
Growth,USD,219690000,0,2,02-01-1994,179315,Medium,15.15
Growth,USD,75950000,1.67,2,27-03-2008,165032,Large,5.91
Value,USD,621050000,3.37,3,01-05-1994,220409,Small,6.13
Blend,USD,5560000000,2.93,4,03-01-1999,162134,Medium,3.72
Growth,USD,15640000,0,,15-08-2010,177335,Medium,11.06
Blend,USD,100860000,1.36,,25-12-2013,205091,Medium,2.5
Growth,USD,66000000000,0.42,3,15-03-2001,35144,Large,12.66
Growth,USD,92420000,3.42,2,28-02-2013,52577,Medium,5.45
Growth,USD,2220000000,1.54,3,28-02-2001,199439,Large,12.51
Value,USD,2500000000,3.26,4,01-02-1995,65717,Large,8.45
Blend,USD,22730000,1.79,3,19-12-2012,122543,Large,8.07
Blend,USD,403780000,2.28,3,26-03-2015,130481,Large,12.23
Growth,USD,1310000000,0.96,0,06-06-2016,93608,Large,6.55
Growth,USD,628040000,1.25,3,14-10-1996,171917,Large,12.97
Value,USD,513220000,4.26,,03-04-2017,247616,Medium,2.27
Value,USD,658950000,2.93,,31-01-2012,46295,Small,3.62
Blend,USD,8160000000,2.49,4,08-09-2016,136295,Large,9.78
Blend,USD,15880000000,5.3,4,02-02-2017,46511,Large,6.99
Blend,USD,889980000,1.56,3,09-03-2008,122894,Large,10.17
Value,USD,735170000,1.94,,26-03-2015,129599,Large,14.86
Growth,USD,381800000,0.16,3,17-12-2008,188054,Large,19.61
Growth,USD,100160000,0.46,2,27-07-1997,76859,Large,11.88
Blend,USD,807610000,4.79,3,28-04-2005,118934,Large,15.01
Value,USD,184280000,11.52,2,05-02-2012,158183,Medium,22.46
Value,USD,38720000,2.43,4,02-01-1995,201644,Large,1.44
Growth,USD,10150000,0,1,29-12-1998,231506,Medium,11.55
Growth,USD,1130000000,0.64,,24-09-2000,178496,Large,15.75
Value,USD,1990000000,4.71,2,31-05-2011,134369,Small,3.83
Value,USD,9700000,2.91,2,18-12-2013,157499,Medium,-5.39
Value,USD,999030000,1.24,,30-05-2016,47294,Large,10.13
Growth,USD,12570000,0,,01-05-2011,144170,Medium,18.06
Growth,USD,1620000000,0,3,13-05-1999,205586,Small,14.16
Growth,USD,4970000000,0,4,28-09-2000,196433,Large,20.98
Blend,USD,2500000000,3.5,3,25-10-1976,197351,Medium,2.6
Value,USD,14900000,2.19,0,13-10-2014,124316,Small,-1.77
Value,USD,39360000000,4.09,5,26-12-2010,199808,Small,4.02
,USD,9230000000,5.34,3,28-02-2016,155888,,5.91
Growth,USD,68650000,0,2,26-07-2005,151748,Large,16.91
Blend,USD,113000000,2.3,4,06-11-2013,135269,Large,11.94
Value,USD,12830000000,1.82,3,29-11-2016,176435,Large,8.86
Blend,USD,582740000,2.43,3,28-01-2009,28034,Large,1.89
Blend,USD,808230000,3.49,3,01-03-2012,50813,Medium,4.54
Growth,USD,3670000000,1.45,4,21-12-2006,119159,Large,14.07
Value,USD,1220000000,3.47,2,30-09-1991,198989,Small,12.25
Blend,USD,7710000,0.35,0,17-01-2017,142568,Large,12.76
Blend,USD,193110000,1.9,5,27-03-2014,106289,Medium,14.48
Blend,USD,2040000000,0.52,3,29-06-2000,126233,Large,11.09
Value,USD,23360000,0.97,5,29-01-2014,57167,Medium,18.01
Growth,USD,1700000000,0.02,3,29-09-2008,70730,Large,17.08
Value,USD,412510000,0.71,,26-03-2006,38411,Large,13.29
Growth,USD,42690000000,0,4,28-08-2014,211292,Medium,15.36
Growth,USD,6720000000,2.14,5,02-05-2016,245717,Large,11.97
Blend,USD,782880000,2.7,3,28-12-2006,101717,Large,10.06
Blend,USD,98620000,1.69,2,09-11-2014,240371,Medium,3.24
Blend,USD,286480000,2.09,1,27-02-2008,157283,Large,2.82
Value,USD,515400000,1.67,5,24-02-2004,178190,Medium,2.99
Blend,USD,265730000,1.37,3,09-03-2017,233585,Large,12.4
Value,USD,681330000,3.53,,13-04-1987,74258,Large,9.09
Blend,USD,720710000,2.61,,09-04-2017,27071,Large,2.08
Value,USD,321560000,2.79,3,04-06-2015,186461,Large,9.18
Growth,USD,1700000000,0.25,2,29-07-2010,252188,Large,15.2
Blend,USD,54870000,0.66,2,01-01-1987,249740,Large,10.45
,USD,6640000000,1.24,,19-09-1994,103868,,1.2
Value,USD,262360000,6.69,3,27-06-2013,178064,Small,13.53
Blend,USD,3200000000,1.91,4,31-01-2007,205172,Large,5.88
Blend,USD,73930000,0.54,4,31-05-2010,42056,Small,13.28
Value,USD,1640000000,3.6,3,02-07-1996,230624,Large,8.64
Value,USD,1830000000,1.59,2,29-12-2011,127799,Large,7.65
Blend,USD,10480000,1.14,,29-06-2017,129239,Large,9.71
Value,USD,1110000000,2.12,,30-03-2010,131372,Large,2.75
Blend,USD,639020000,3.43,3,28-12-2006,102095,Large,6.6
,USD,69500000,1.29,3,11-05-2011,74366,,2.6
Blend,USD,34740000,2.01,3,01-03-2015,228905,Large,11.82
Blend,USD,1040000000,0.55,3,29-09-2015,73016,Large,12.84
Blend,USD,310860000,3.66,5,24-01-2018,157526,Medium,2.86
Value,USD,104450000,1.32,,13-08-2013,41228,Small,0.25
Blend,USD,4600000000,2.3,4,30-05-2011,143873,Large,7.28
Value,USD,2210000000,2.03,2,30-06-1977,148913,Large,11.26
Blend,USD,57960000,2.65,,28-02-1991,224702,Medium,3.23
,USD,4400000000,2.7,5,19-07-1993,104282,,2.92
Growth,USD,50540000,1.29,2,30-11-2015,179297,Medium,10.81
Blend,USD,730140000,2.58,3,18-12-2011,118052,Large,9.76
Blend,USD,1190000000,2.78,3,27-06-1995,81080,Small,5.38
Blend,USD,22570000,3.24,,29-06-2011,216233,Medium,4.17
Blend,USD,236360000,2.82,4,29-02-2000,190349,Large,10.59
Growth,USD,138800000,0,4,24-07-2016,212354,Small,14.83
Value,USD,86610000,1.59,2,30-01-2011,55529,Large,10.56
,USD,12080000,1.96,0,20-09-2017,194768,,1.41
Value,USD,3900000000,3.04,,30-10-2014,248498,Large,5.37
,USD,4050000,1.9,2,31-05-2015,90638,,0.81
Growth,USD,289190000,0.79,,30-04-2007,155042,Large,14.74
Blend,USD,531740000,0.91,4,19-11-2012,133955,Large,10.76
,USD,4380000000,2.53,4,20-12-2015,181250,,0.8
Growth,USD,414040000,1.06,3,02-01-2001,226106,Large,13.35
Value,USD,1840000000,1.55,2,13-09-2012,62207,Large,2.59
Blend,USD,5620000000,0.98,,28-06-2001,66482,Large,13.06
Value,USD,1050000000,1.41,4,13-09-2012,58373,Medium,-0.76
Value,USD,491500000,2.15,2,06-08-2015,235151,Large,1.2
Blend,USD,5090000000,7.07,3,04-07-2017,251135,Small,6.47
Value,USD,96810000,1.98,2,20-06-2010,173771,Medium,1.23
